X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,danger_zone,route_risk,evac_time
7,4,aug,wed,96.0,175.5,661.4,18.0,31.4,24,4.5,0.0,0.0,2,1,20.4
2,4,aug,wed,96.0,175.5,661.4,18.0,31.4,24,4.5,0.0,0.0,2,1,20.1
5,4,sep,thu,91.7,96.9,748.6,8.0,23.5,42,2.7,0.0,0.0,1,0,12.6
5,4,sep,thu,91.7,96.9,748.6,8.0,23.5,42,2.7,0.0,2.17,1,1,15.3
5,4,sep,mon,88.6,91.8,709.9,7.1,19.7,51,4.5,0.0,0.43,1,0,11.8
5,4,sep,fri,92.9,133.3,699.6,9.2,26.2,27,4.9,0.0,0.0,1,1,14.7
5,4,sep,fri,93.3,141.2,713.9,13.9,29.5,26,4.9,0.0,0.0,2,1,18.3
4,3,sep,mon,91.1,101.3,674.2,9.1,27.0,32,4.0,0.0,0.0,1,1,14.5
4,3,sep,wed,92.9,133.3,699.6,9.2,26.2,27,4.9,0.0,0.0,1,1,14.8
4,3,sep,fri,93.3,141.2,713.9,13.9,29.5,26,4.9,0.0,0.0,2,1,18.1
3,4,sep,tue,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.0,1,0,12.3
3,4,oct,wed,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.0,0,0,9.8
3,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,0,0,8.4
6,3,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,0,0,9.2
6,3,feb,fri,84.0,8.8,27.4,1.4,8.3,58,5.8,0.0,0.0,0,0,7.8
5,3,feb,wed,83.5,3.4,3.0,0.4,6.4,66,1.8,0.0,0.0,0,0,7.1
5,3,feb,wed,83.5,3.4,3.0,0.4,6.4,66,1.8,0.0,0.0,0,0,7.0
5,3,mar,sat,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0,1,0,11.5
2,2,aug,sat,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0,1,0,11.2
6,5,aug,mon,92.9,122.5,655.2,16.9,24.5,27,5.4,0.0,0.0,1,1,15.9
6,5,sep,fri,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0,2,1,18.6
6,5,sep,mon,92.4,117.9,668.0,11.7,24.6,36,4.0,0.0,0.0,1,1,14.9
6,5,sep,wed,90.9,126.5,686.5,7.0,21.1,44,1.8,0.0,0.0,1,0,12.0
6,5,sep,thu,92.9,133.3,699.6,9.2,26.2,27,4.9,0.0,0.0,1,1,15.0
6,5,sep,fri,92.5,121.1,674.4,8.6,25.1,41,1.8,0.0,0.0,1,0,12.5
8,6,sep,sat,92.9,133.3,699.6,9.2,26.2,27,4.9,0.0,0.0,1,1,15.2
8,6,sep,sun,92.9,133.3,699.6,9.2,26.2,27,4.9,0.0,0.0,1,1,15.0
6,5,oct,thu,88.9,67.3,444.5,5.0,19.6,34,4.5,0.0,0.0,0,0,10.3
6,5,oct,fri,88.9,67.3,444.5,5.0,19.6,34,4.5,0.0,0.0,0,0,10.1
6,5,oct,sat,88.9,67.3,444.5,5.0,19.6,34,4.5,0.0,0.0,0,0,9.9
6,5,mar,mon,85.0,10.5,30.9,2.4,6.3,56,4.0,0.0,0.0,0,0,7.5
6,5,mar,tue,85.0,10.5,30.9,2.4,6.3,56,4.0,0.0,0.0,0,0,7.4
6,5,mar,fri,91.7,35.8,80.8,7.8,15.1,60,5.4,0.0,0.0,0,0,9.4
6,5,mar,fri,91.7,35.8,80.8,7.8,15.1,60,5.4,0.0,0.0,0,0,9.2
7,5,mar,fri,91.7,35.8,80.8,7.8,15.1,60,5.4,0.0,0.0,0,0,9.0
7,5,mar,sat,91.7,35.8,80.8,7.8,15.1,60,5.4,0.0,0.0,0,0,8.9
7,5,mar,sun,91.7,35.8,80.8,7.8,15.1,60,5.4,0.0,0.0,0,0,8.8
7,5,aug,tue,94.3,96.3,614.9,18.3,28.5,28,4.9,0.0,0.0,2,1,19.5
7,5,aug,wed,94.3,96.3,614.9,18.3,28.5,28,4.9,0.0,0.0,2,1,19.2
7,5,aug,thu,91.2,66.0,543.2,10.7,22.8,38,2.2,0.0,0.0,1,0,12.9
7,5,aug,fri,91.2,66.0,543.2,10.7,22.8,38,2.2,0.0,0.0,1,0,12.7
7,5,aug,sat,91.2,66.0,543.2,10.7,22.8,38,2.2,0.0,0.0,1,0,12.5
7,5,aug,sun,91.2,66.0,543.2,10.7,22.8,38,2.2,0.0,0.0,1,0,12.3
8,5,aug,tue,93.5,114.7,659.8,15.5,29.4,27,5.4,0.0,0.0,2,1,19.8
8,5,aug,wed,93.5,114.7,659.8,15.5,29.4,27,5.4,0.0,0.0,2,1,19.5
8,5,aug,sat,90.4,100.9,645.0,11.1,26.4,37,3.1,0.0,0.0,1,1,15.7
8,5,aug,sun,90.4,100.9,645.0,11.1,26.4,37,3.1,0.0,0.0,1,1,15.4
8,5,aug,mon,90.4,100.9,645.0,11.1,26.4,37,3.1,0.0,0.0,1,1,15.2
8,6,aug,wed,94.8,108.3,647.1,17.6,24.1,27,5.4,0.0,0.0,1,1,16.1
8,6,aug,thu,94.8,108.3,647.1,17.6,24.1,27,5.4,0.0,0.0,1,1,15.9
4,4,jul,mon,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,0.0,1,0,12.2
4,4,jul,tue,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,0.0,1,0,12.0
4,4,jul,wed,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,0.0,1,0,11.8
4,4,jul,sat,88.8,97.7,426.0,5.0,21.0,59,4.0,0.0,0.0,1,0,11.6
4,4,sep,sun,91.8,78.5,724.3,9.3,23.4,38,2.2,0.0,0.0,1,0,12.4
4,4,sep,fri,93.7,101.3,765.0,12.3,24.5,28,4.9,0.0,0.0,1,1,15.6
4,4,sep,mon,88.6,91.8,709.9,7.1,19.7,51,4.5,0.0,0.0,1,0,11.7
3,3,sep,fri,92.9,133.3,699.6,9.2,26.2,27,4.9,0.0,0.0,1,1,15.1
3,3,sep,sat,93.3,141.2,713.9,13.9,29.5,26,4.9,0.0,0.0,2,1,18.4
3,3,sep,sun,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.0,1,0,12.2
3,3,oct,tue,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.0,0,0,9.7
3,3,oct,wed,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.0,0,0,9.5
3,3,oct,thu,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.0,0,0,9.4
3,3,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,0,0,8.3
6,5,mar,wed,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,0,0,8.9
6,5,mar,thu,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,0,0,8.7
6,5,apr,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,0,0,8.2
6,5,apr,sat,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,0,0,8.0
6,5,may,sun,87.2,30.4,103.1,4.5,12.0,48,5.4,0.0,0.0,0,0,8.6
6,5,may,mon,87.2,30.4,103.1,4.5,12.0,48,5.4,0.0,0.0,0,0,8.5
6,5,jun,tue,88.0,40.0,196.0,4.0,14.0,45,3.6,0.0,0.0,0,0,9.0
6,5,jun,wed,88.0,40.0,196.0,4.0,14.0,45,3.6,0.0,0.0,0,0,8.9
6,5,jun,thu,88.0,40.0,196.0,4.0,14.0,45,3.6,0.0,0.0,0,0,8.8
6,5,jul,fri,89.0,65.0,350.0,5.5,20.0,55,4.0,0.0,0.0,1,0,11.0
6,5,jul,sat,89.0,65.0,350.0,5.5,20.0,55,4.0,0.0,0.0,1,0,10.8
6,5,jul,sun,89.0,65.0,350.0,5.5,20.0,55,4.0,0.0,0.0,1,0,10.6
6,5,aug,mon,93.0,110.0,600.0,15.0,26.0,30,5.0,0.0,0.0,1,1,16.0
6,5,aug,tue,93.0,110.0,600.0,15.0,26.0,30,5.0,0.0,0.0,1,1,15.8
6,5,aug,wed,93.0,110.0,600.0,15.0,26.0,30,5.0,0.0,0.0,1,1,15.6
6,5,sep,thu,92.0,120.0,680.0,10.0,25.0,35,4.5,0.0,0.0,1,1,14.5
6,5,sep,fri,92.0,120.0,680.0,10.0,25.0,35,4.5,0.0,0.0,1,1,14.3
6,5,sep,sat,92.0,120.0,680.0,10.0,25.0,35,4.5,0.0,0.0,1,1,14.1
6,5,oct,sun,89.0,55.0,400.0,5.0,17.0,40,3.0,0.0,0.0,0,0,9.5
6,5,oct,mon,89.0,55.0,400.0,5.0,17.0,40,3.0,0.0,0.0,0,0,9.3
6,5,nov,tue,84.0,15.0,50.0,2.0,10.0,60,2.0,0.0,0.0,0,0,8.0
6,5,nov,wed,84.0,15.0,50.0,2.0,10.0,60,2.0,0.0,0.0,0,0,7.9
6,5,dec,thu,82.0,8.0,20.0,1.5,7.0,65,1.5,0.0,0.0,0,0,7.2
6,5,dec,fri,82.0,8.0,20.0,1.5,7.0,65,1.5,0.0,0.0,0,0,7.1
7,6,jan,sat,80.0,5.0,15.0,1.0,5.0,70,1.0,0.0,0.0,0,0,6.8
7,6,jan,sun,80.0,5.0,15.0,1.0,5.0,70,1.0,0.0,0.0,0,0,6.7
7,6,feb,mon,83.0,7.0,25.0,1.2,7.5,62,2.0,0.0,0.0,0,0,7.3
7,6,feb,tue,83.0,7.0,25.0,1.2,7.5,62,2.0,0.0,0.0,0,0,7.2
8,7,aug,tue,95.0,160.0,640.0,20.0,32.0,23,6.0,0.0,0.0,2,1,21.0
8,7,aug,wed,95.0,160.0,640.0,20.0,32.0,23,6.0,0.0,0.0,2,1,20.8
8,7,aug,thu,95.0,160.0,640.0,20.0,32.0,23,6.0,0.0,0.0,2,1,20.6
8,7,aug,fri,95.0,160.0,640.0,20.0,32.0,23,6.0,0.0,0.0,2,1,20.4
8,7,aug,sat,95.0,160.0,640.0,20.0,32.0,23,6.0,0.0,0.0,2,1,20.2
8,7,sep,sun,93.5,140.0,700.0,12.0,28.0,28,5.0,0.0,0.0,2,1,18.5
8,7,sep,mon,93.5,140.0,700.0,12.0,28.0,28,5.0,0.0,0.0,2,1,18.3
8,7,sep,tue,93.5,140.0,700.0,12.0,28.0,28,5.0,0.0,0.0,2,1,18.1
9,9,aug,mon,96.5,190.0,670.0,25.0,33.0,22,7.0,0.0,0.0,2,1,22.0
9,9,aug,tue,96.5,190.0,670.0,25.0,33.0,22,7.0,0.0,0.0,2,1,21.8
9,9,aug,wed,96.5,190.0,670.0,25.0,33.0,22,7.0,0.0,0.0,2,1,21.5
9,9,aug,sat,96.5,190.0,670.0,25.0,33.0,22,7.0,0.0,0.0,2,1,21.2
9,9,sep,sun,94.0,150.0,720.0,14.0,29.0,26,5.5,0.0,0.0,2,1,19.0
9,9,sep,mon,94.0,150.0,720.0,14.0,29.0,26,5.5,0.0,0.0,2,1,18.8
9,9,sep,fri,94.0,150.0,720.0,14.0,29.0,26,5.5,0.0,0.0,2,1,18.6
2,2,aug,sun,97.0,134.8,720.3,27.5,31.5,22,7.6,0.0,239.76,2,1,25.0
6,3,sep,fri,91.3,166.9,752.6,7.1,21.1,71,7.6,0.0,0.0,1,0,12.8
6,3,sep,sat,91.3,166.9,752.6,7.1,21.1,71,7.6,0.0,0.0,1,0,12.6
6,3,sep,mon,90.1,143.1,667.0,11.7,21.9,46,4.5,0.0,0.0,1,0,12.9
6,3,sep,tue,90.1,143.1,667.0,11.7,21.9,46,4.5,0.0,0.0,1,0,12.7
6,3,oct,wed,88.9,67.3,444.5,5.0,19.6,34,4.5,0.0,0.0,0,0,10.4
6,3,oct,thu,88.9,67.3,444.5,5.0,19.6,34,4.5,0.0,0.0,0,0,10.2
5,3,oct,fri,86.7,52.6,324.3,4.2,17.8,41,3.1,0.0,0.0,0,0,9.6
5,3,oct,sat,86.7,52.6,324.3,4.2,17.8,41,3.1,0.0,0.0,0,0,9.4
5,3,mar,sun,84.9,14.4,40.2,1.8,7.4,71,3.6,0.0,0.0,0,0,7.6
5,3,apr,mon,86.0,25.0,90.0,4.0,9.0,55,5.0,0.0,0.0,0,0,8.1
5,3,may,tue,87.0,28.0,100.0,4.2,11.0,50,4.5,0.0,0.0,0,0,8.4
5,3,jun,wed,87.5,38.0,185.0,3.8,13.0,47,3.5,0.0,0.0,0,0,8.8
5,3,jul,thu,88.5,62.0,340.0,5.2,19.0,57,3.8,0.0,0.0,1,0,10.9
5,3,aug,fri,92.5,105.0,590.0,14.5,25.0,32,4.8,0.0,0.0,1,1,15.5
5,3,aug,sat,92.5,105.0,590.0,14.5,25.0,32,4.8,0.0,0.0,1,1,15.3
5,3,aug,sun,92.5,105.0,590.0,14.5,25.0,32,4.8,0.0,0.0,1,1,15.1
5,3,sep,mon,91.5,115.0,660.0,9.5,24.0,37,4.2,0.0,0.0,1,0,13.0
5,3,sep,tue,91.5,115.0,660.0,9.5,24.0,37,4.2,0.0,0.0,1,0,12.8
5,3,sep,wed,91.5,115.0,660.0,9.5,24.0,37,4.2,0.0,0.0,1,0,12.6
4,5,aug,fri,93.8,118.0,625.0,16.5,27.5,29,5.2,0.0,0.0,1,1,16.5
4,5,aug,sat,93.8,118.0,625.0,16.5,27.5,29,5.2,0.0,0.0,1,1,16.3
4,5,aug,sun,93.8,118.0,625.0,16.5,27.5,29,5.2,0.0,0.0,1,1,16.1
4,5,aug,mon,93.8,118.0,625.0,16.5,27.5,29,5.2,0.0,0.0,1,1,15.9
4,5,sep,tue,92.2,125.0,675.0,10.5,25.5,36,4.3,0.0,0.0,1,1,14.6
4,5,sep,wed,92.2,125.0,675.0,10.5,25.5,36,4.3,0.0,0.0,1,1,14.4
4,5,sep,thu,92.2,125.0,675.0,10.5,25.5,36,4.3,0.0,0.0,1,1,14.2
4,5,oct,fri,88.0,60.0,420.0,4.8,18.5,38,3.2,0.0,0.0,0,0,10.0
4,5,oct,sat,88.0,60.0,420.0,4.8,18.5,38,3.2,0.0,0.0,0,0,9.8
3,5,aug,sun,94.5,130.0,635.0,18.0,28.0,27,5.5,0.0,0.0,2,1,18.2
3,5,aug,mon,94.5,130.0,635.0,18.0,28.0,27,5.5,0.0,0.0,2,1,18.0
3,5,aug,tue,94.5,130.0,635.0,18.0,28.0,27,5.5,0.0,0.0,2,1,17.8
3,5,aug,wed,94.5,130.0,635.0,18.0,28.0,27,5.5,0.0,0.0,2,1,17.6
3,5,sep,thu,92.8,135.0,695.0,11.0,26.8,30,4.6,0.0,0.0,1,1,15.0
3,5,sep,fri,92.8,135.0,695.0,11.0,26.8,30,4.6,0.0,0.0,1,1,14.8
3,5,sep,sat,92.8,135.0,695.0,11.0,26.8,30,4.6,0.0,0.0,1,1,14.6
3,5,oct,sun,87.5,58.0,410.0,4.6,18.0,39,3.0,0.0,0.0,0,0,9.9
3,5,oct,mon,87.5,58.0,410.0,4.6,18.0,39,3.0,0.0,0.0,0,0,9.7
2,6,aug,tue,95.5,170.0,650.0,22.0,31.0,24,6.2,0.0,0.0,2,1,20.5
2,6,aug,wed,95.5,170.0,650.0,22.0,31.0,24,6.2,0.0,0.0,2,1,20.3
2,6,aug,thu,95.5,170.0,650.0,22.0,31.0,24,6.2,0.0,0.0,2,1,20.1
2,6,sep,fri,93.2,138.0,698.0,12.5,27.2,29,5.1,0.0,0.0,1,1,15.8
2,6,sep,sat,93.2,138.0,698.0,12.5,27.2,29,5.1,0.0,0.0,1,1,15.6
2,6,sep,sun,93.2,138.0,698.0,12.5,27.2,29,5.1,0.0,0.0,1,1,15.4
2,6,oct,mon,88.2,62.0,430.0,4.9,18.8,37,3.3,0.0,0.0,0,0,10.2
2,6,oct,tue,88.2,62.0,430.0,4.9,18.8,37,3.3,0.0,0.0,0,0,10.0
1,6,aug,wed,96.0,175.0,660.0,24.0,32.5,22,6.8,0.0,0.0,2,1,21.5
1,6,aug,thu,96.0,175.0,660.0,24.0,32.5,22,6.8,0.0,0.0,2,1,21.3
1,6,aug,fri,96.0,175.0,660.0,24.0,32.5,22,6.8,0.0,0.0,2,1,21.1
1,6,sep,sat,93.8,142.0,702.0,13.0,27.8,27,5.3,0.0,0.0,2,1,16.8
1,6,sep,sun,93.8,142.0,702.0,13.0,27.8,27,5.3,0.0,0.0,2,1,16.6
1,6,sep,mon,93.8,142.0,702.0,13.0,27.8,27,5.3,0.0,0.0,2,1,16.4
1,6,oct,tue,88.5,65.0,435.0,5.1,19.0,36,3.4,0.0,0.0,0,0,10.5
1,6,oct,wed,88.5,65.0,435.0,5.1,19.0,36,3.4,0.0,0.0,0,0,10.3
